algo,n,mode,seed,time_limit,status,cost,opt_cost,rel_error,elapsed,iterations,opt_cost_bench,rel_error_bench,rel_error_ref,algo_display
aco,25,uniform,0,250.0,ok,1.9153305195961503,1.884642,0.016283474312973167,4.878309488296509,200.0,1.884642070812382,0.016283436127763,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,25,uniform,0,250.0,ok,1.884642070812382,1.884642,3.757338640220098e-08,0.0,85.0,1.884642070812382,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,25,uniform,0,,ok,1.884642070812382,1.884642,3.757338640220098e-08,0.0,,1.884642070812382,0.0,unlimited_hungarian,Венгерский SciPy
greedy,25,uniform,0,,ok,2.789388284937999,1.884642,0.4800626776533683,0.0,,1.884642070812382,0.4800626220424034,unlimited_hungarian,Жадный
aco,25,uniform,1,250.0,ok,1.960150077215385,1.96015,3.9392589856745985e-08,4.985859155654907,200.0,1.9601500772153848,1.1327938993348448e-16,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,25,uniform,1,250.0,ok,1.9601500772153848,1.96015,3.939258963470138e-08,0.0,133.0,1.9601500772153848,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,25,uniform,1,,ok,1.9601500772153848,1.96015,3.939258963470138e-08,0.0,,1.9601500772153848,0.0,unlimited_hungarian,Венгерский SciPy
greedy,25,uniform,1,,ok,3.112644856228399,1.96015,0.5879625825719454,0.0,,1.9601500772153848,0.5879625200179893,unlimited_hungarian,Жадный
aco,25,uniform,2,250.0,ok,1.5317416040274394,1.531742,-2.5851126395082247e-07,5.033538341522217,200.0,1.531741604027439,2.899243636670897e-16,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,25,uniform,2,250.0,ok,1.531741604027439,1.531742,-2.585112642838894e-07,0.014524221420288,95.0,1.531741604027439,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,25,uniform,2,,ok,1.531741604027439,1.531742,-2.585112642838894e-07,0.0,,1.531741604027439,0.0,unlimited_hungarian,Венгерский SciPy
greedy,25,uniform,2,,ok,2.960892775743214,1.531742,0.9330231695306481,0.0,,1.531741604027439,0.9330236692390408,unlimited_hungarian,Жадный
aco,25,uniform,3,250.0,ok,1.3743015712864604,1.374302,-3.1195002225814505e-07,4.989258766174316,200.0,1.3743015712864604,0.0,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,25,uniform,3,250.0,ok,1.3743015712864604,1.374302,-3.1195002225814505e-07,0.0,108.0,1.3743015712864604,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,25,uniform,3,,ok,1.3743015712864604,1.374302,-3.1195002225814505e-07,0.0,,1.3743015712864604,0.0,unlimited_hungarian,Венгерский SciPy
greedy,25,uniform,3,,ok,2.86781155245179,1.374302,1.08674043438181,0.0,,1.3743015712864604,1.0867410853407382,unlimited_hungarian,Жадный
aco,25,uniform,4,250.0,ok,1.52695702447422,1.513854,0.008655408298435585,4.961600303649902,200.0,1.5138543342634123,0.0086551855844062,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,25,uniform,4,250.0,ok,1.5138543342634123,1.513854,2.208029388217625e-07,0.0,60.0,1.5138543342634123,0.0,unlimited_hungarian,Венгерский
