algo_display,n,mean_rel_error,std_rel_error,mean_elapsed,std_elapsed,count,timeouts
Венгерский,25,-5.453847433667391e-08,2.2415738751479728e-07,0.0031253814697265597,0.006988565421926789,5,0
Венгерский,50,8.006966867313281e-09,2.0137367001072464e-07,0.012500476837158159,0.006998244798359732,5,0
Венгерский,100,-7.448820833477754e-08,1.7964188410724675e-07,0.06255741119384763,0.010953536170758888,5,0
Венгерский SciPy,25,-5.453847433667391e-08,2.2415738751479728e-07,0.0,0.0,5,0
Венгерский SciPy,50,8.006966867313281e-09,2.0137367001072464e-07,0.0,0.0,5,0
Венгерский SciPy,100,-7.448820833477754e-08,1.7964188410724675e-07,0.00312519073486328,0.006988138925806816,5,0
Жадный,25,0.6732984786841412,0.3311791923659469,0.0,0.0,5,0
Жадный,50,0.9166947901771261,0.3979099698296313,0.0,0.0,5,0
Жадный,100,1.3889673871904544,0.31488602695640955,0.0062042713165283,0.008495996341128909,5,0
Муравьиный алг-м,25,0.04438229097132462,0.040083085444550005,0.5018727302551269,0.0020115402251503155,5,0
Муравьиный алг-м,50,0.38785939501037686,0.14563929286714022,0.5061295986175537,0.005472708780124721,5,0
Муравьиный алг-м,100,1.0671899298577032,0.15617657440837213,0.5072506427764892,0.0078135636791411,5,0
