algo,n,mode,seed,time_limit,status,cost,opt_cost,rel_error,elapsed,iterations
aco,25,uniform,0,300.0,ok,1.884642070812382,1.884642070812382,0.0,47.19481706619263,1000
hungarian_manual,25,uniform,0,300.0,ok,1.884642070812382,1.884642070812382,0.0,0.0,85
hungarian_scipy,25,uniform,0,,ok,1.884642070812382,1.884642070812382,0.0,0.0,
greedy,25,uniform,0,,ok,2.789388284937999,1.884642070812382,0.4800626220424034,0.0,
aco,25,uniform,1,300.0,ok,1.9601500772153846,1.9601500772153848,-1.1327938993348448e-16,47.39590549468994,1000
hungarian_manual,25,uniform,1,300.0,ok,1.9601500772153848,1.9601500772153848,0.0,0.0,133
hungarian_scipy,25,uniform,1,,ok,1.9601500772153848,1.9601500772153848,0.0,0.0,
greedy,25,uniform,1,,ok,3.112644856228399,1.9601500772153848,0.5879625200179893,0.0,
aco,25,uniform,2,300.0,ok,1.531741604027439,1.531741604027439,0.0,49.12597060203552,1000
hungarian_manual,25,uniform,2,300.0,ok,1.531741604027439,1.531741604027439,0.0,0.0,95
hungarian_scipy,25,uniform,2,,ok,1.531741604027439,1.531741604027439,0.0,0.0,
greedy,25,uniform,2,,ok,2.960892775743214,1.531741604027439,0.9330236692390408,0.0,
aco,25,uniform,3,300.0,ok,1.374301571286461,1.3743015712864604,4.847071623090246e-16,47.61186361312866,1000
hungarian_manual,25,uniform,3,300.0,ok,1.3743015712864604,1.3743015712864604,0.0,0.0,108
hungarian_scipy,25,uniform,3,,ok,1.3743015712864604,1.3743015712864604,0.0,0.0,
greedy,25,uniform,3,,ok,2.86781155245179,1.3743015712864604,1.0867410853407382,0.0,
aco,25,uniform,4,300.0,ok,1.5138543342634123,1.5138543342634123,0.0,47.294259786605835,1000
hungarian_manual,25,uniform,4,300.0,ok,1.5138543342634123,1.5138543342634123,0.0,0.0,60
hungarian_scipy,25,uniform,4,,ok,1.5138543342634123,1.5138543342634123,0.0,0.0,
greedy,25,uniform,4,,ok,1.935770452619087,1.5138543342634123,0.2787032469414993,0.0,
aco,50,uniform,0,300.0,ok,1.211610543155774,1.1652531686491898,0.03978309242473339,101.16814398765564,1000
hungarian_manual,50,uniform,0,300.0,ok,1.1652531686491898,1.1652531686491898,0.0,0.015617609024047852,233
hungarian_scipy,50,uniform,0,,ok,1.1652531686491898,1.1652531686491898,0.0,0.0,
greedy,50,uniform,0,,ok,2.8246778765579332,1.1652531686491898,1.424089418982158,0.0,
aco,50,uniform,1,300.0,ok,1.6770769905436396,1.6606134242525727,0.009914147417227417,102.71920132637024,1000
hungarian_manual,50,uniform,1,300.0,ok,1.6606134242525727,1.6606134242525727,0.0,0.0,179
hungarian_scipy,50,uniform,1,,ok,1.6606134242525727,1.6606134242525727,0.0,0.0,
greedy,50,uniform,1,,ok,3.0475553722192386,1.6606134242525727,0.8351985644045459,0.0,
aco,50,uniform,2,300.0,ok,1.6010226411297412,1.5728928051373516,0.01788414054696702,101.60737895965576,1000
hungarian_manual,50,uniform,2,300.0,ok,1.5728928051373516,1.5728928051373516,0.0,0.015451431274414062,211
hungarian_scipy,50,uniform,2,,ok,1.5728928051373516,1.5728928051373516,0.0,0.0,
greedy,50,uniform,2,,ok,2.101326918825763,1.5728928051373516,0.3359632086576085,0.0,
aco,50,uniform,3,300.0,ok,1.4652066517013411,1.441647014985592,0.016342167306457177,101.17527198791504,1000
hungarian_manual,50,uniform,3,300.0,ok,1.441647014985592,1.441647014985592,0.0,0.015625,264
hungarian_scipy,50,uniform,3,,ok,1.441647014985592,1.441647014985592,0.0,0.0,
greedy,50,uniform,3,,ok,3.018976972289431,1.441647014985592,1.0941166186367772,0.0,
aco,50,uniform,4,300.0,ok,1.3982553669604143,1.3856696581784833,0.009082762769356873,100.66408920288086,1000
hungarian_manual,50,uniform,4,300.0,ok,1.3856696581784833,1.3856696581784833,0.0,0.0156252384185791,224
hungarian_scipy,50,uniform,4,,ok,1.3856696581784833,1.3856696581784833,0.0,0.0,
greedy,50,uniform,4,,ok,2.6246051186446246,1.3856696581784833,0.8941059314921929,0.0,
aco,100,uniform,0,300.0,ok,1.8482561678215101,1.6612799516999137,0.11254949289568685,300.01224994659424,977
hungarian_manual,100,uniform,0,300.0,ok,1.6612799516999137,1.6612799516999137,0.0,0.0625,685
hungarian_scipy,100,uniform,0,,ok,1.6612799516999137,1.6612799516999137,0.0,0.0,
greedy,100,uniform,0,,ok,3.4902455053428705,1.6612799516999137,1.1009375943960906,0.015600442886352539,
