n,seed,opt_cost_true
25,0,1.884642
25,1,1.96015
25,2,1.531742
25,3,1.374302
25,4,1.513854
50,0,1.165253
50,1,1.660613
50,2,1.572893
50,3,1.441647
50,4,1.38567
75,0,1.486705
75,1,1.678022
75,2,1.63542
75,3,1.392117
75,4,1.388084
100,0,1.66128
100,1,1.624391
100,2,1.531652
100,3,1.462691
100,4,1.460538
150,0,1.667803
150,1,1.825576
150,2,1.501703
150,3,1.631098
150,4,1.625237
200,0,1.616953
200,1,1.59036
200,2,1.616185
200,3,1.533305
200,4,1.729172
300,0,1.711219
300,1,1.628451
300,2,1.628006
300,3,1.497873
300,4,1.640847
400,0,1.611268
400,1,1.655677
400,2,1.707395
400,3,1.577615
400,4,1.784827
600,0,1.597129
600,1,1.770697
600,2,1.72749
600,3,1.562959
600,4,1.726163
800,0,1.593112
800,1,1.650141
800,2,1.67474
800,3,1.606241
800,4,1.759412
1200,0,1.668685
1200,1,1.685866
1200,2,1.647655
1200,3,1.619747
1200,4,1.646058
2000,0,1.67377
2000,1,1.630182
2000,2,1.657282
2000,3,1.681407
2000,4,1.684683
3000,0,1.624333
3000,1,1.600365
3000,2,1.668101
3000,3,1.650217
3000,4,1.670261
4000,0,1.631184
4000,1,1.595392
4000,2,1.651321
4000,3,1.668851
4000,4,1.661096
5000,0,1.647389
5000,1,1.639182
5000,2,1.668618
5000,3,1.637531
5000,4,1.637221
