algo,n,mode,seed,time_limit,status,cost,opt_cost,rel_error,elapsed,iterations
aco,25,uniform,0,600.0,ok,1.9153305195961505,1.884642070812382,0.016283436127763,4.880753517150879,200
hungarian_manual,25,uniform,0,600.0,ok,2.9001929426677155,1.884642070812382,0.5388560977085566,0.0,56
hungarian_scipy,25,uniform,0,,ok,1.884642070812382,1.884642070812382,0.0,0.0,
greedy,25,uniform,0,,ok,2.789388284937999,1.884642070812382,0.4800626220424034,0.0,
aco,25,uniform,1,600.0,ok,1.960150077215385,1.9601500772153848,1.1327938993348448e-16,4.864409923553467,200
hungarian_manual,25,uniform,1,600.0,ok,3.0440590162995167,1.9601500772153848,0.5529724237360168,0.01562976837158203,104
hungarian_scipy,25,uniform,1,,ok,1.9601500772153848,1.9601500772153848,0.0,0.0,
greedy,25,uniform,1,,ok,3.112644856228399,1.9601500772153848,0.5879625200179893,0.0,
aco,25,uniform,2,600.0,ok,1.5317416040274394,1.531741604027439,2.8992436366708977e-16,4.880197286605835,200
hungarian_manual,25,uniform,2,600.0,ok,2.5555421261982287,1.531741604027439,0.6683898377369202,0.0,41
hungarian_scipy,25,uniform,2,,ok,1.531741604027439,1.531741604027439,0.0,0.0,
greedy,25,uniform,2,,ok,2.960892775743214,1.531741604027439,0.9330236692390408,0.0,
aco,25,uniform,3,600.0,ok,1.3743015712864604,1.3743015712864604,0.0,4.875788927078247,200
hungarian_manual,25,uniform,3,600.0,ok,2.455056081404612,1.3743015712864604,0.7864027319029225,0.009742498397827148,55
hungarian_scipy,25,uniform,3,,ok,1.3743015712864604,1.3743015712864604,0.0,0.0,
greedy,25,uniform,3,,ok,2.86781155245179,1.3743015712864604,1.0867410853407382,0.0,
aco,25,uniform,4,600.0,ok,1.5269570244742199,1.5138543342634123,0.008655185584406222,4.849358081817627,200
hungarian_manual,25,uniform,4,600.0,ok,2.5586699170232476,1.5138543342634123,0.6901691656272897,0.0,66
hungarian_scipy,25,uniform,4,,ok,1.5138543342634123,1.5138543342634123,0.0,0.0,
greedy,25,uniform,4,,ok,1.935770452619087,1.5138543342634123,0.2787032469414993,0.0,
aco,50,uniform,0,600.0,ok,1.249597320815644,1.1652531686491898,0.07238268424039503,8.376031160354614,200
hungarian_manual,50,uniform,0,600.0,ok,2.472467878068017,1.1652531686491898,1.1218289248972435,0.03141665458679199,158
hungarian_scipy,50,uniform,0,,ok,1.1652531686491898,1.1652531686491898,0.0,0.0,
greedy,50,uniform,0,,ok,2.8246778765579332,1.1652531686491898,1.424089418982158,0.0,
aco,50,uniform,1,600.0,ok,1.7623389711904545,1.6606134242525727,0.06125781319855792,7.602082967758179,200
hungarian_manual,50,uniform,1,600.0,ok,3.743065674701746,1.6606134242525727,1.2540259039435782,0.03151845932006836,265
hungarian_scipy,50,uniform,1,,ok,1.6606134242525727,1.6606134242525727,0.0,0.0,
greedy,50,uniform,1,,ok,3.0475553722192386,1.6606134242525727,0.8351985644045459,0.0,
aco,50,uniform,2,600.0,ok,1.6554040455101857,1.5728928051373516,0.05245827312791913,8.513914108276367,200
hungarian_manual,50,uniform,2,600.0,ok,2.2333334655328545,1.5728928051373516,0.4198891737811913,0.031516313552856445,162
hungarian_scipy,50,uniform,2,,ok,1.5728928051373516,1.5728928051373516,0.0,0.0,
greedy,50,uniform,2,,ok,2.101326918825763,1.5728928051373516,0.3359632086576085,0.0,
aco,50,uniform,3,600.0,ok,1.5147268760464212,1.441647014985592,0.05069192409874311,8.382806062698364,200
hungarian_manual,50,uniform,3,600.0,ok,3.536387166643378,1.441647014985592,1.4530187555507277,0.03150367736816406,199
hungarian_scipy,50,uniform,3,,ok,1.441647014985592,1.441647014985592,0.0,0.0,
greedy,50,uniform,3,,ok,3.018976972289431,1.441647014985592,1.0941166186367772,0.0,
aco,50,uniform,4,600.0,ok,1.4582783039025848,1.3856696581784833,0.05239967931429517,7.627053260803223,200
hungarian_manual,50,uniform,4,600.0,ok,2.735012201475795,1.3856696581784833,0.973783711964275,0.031256914138793945,194
hungarian_scipy,50,uniform,4,,ok,1.3856696581784833,1.3856696581784833,0.0,0.0,
greedy,50,uniform,4,,ok,2.6246051186446246,1.3856696581784833,0.8941059314921929,0.0,
aco,75,uniform,0,600.0,ok,1.5906317340525742,1.486704781272332,0.0699042298709101,14.507311820983887,200
hungarian_manual,75,uniform,0,600.0,ok,3.541243900806456,1.486704781272332,1.381941556531375,0.09377336502075195,441
hungarian_scipy,75,uniform,0,,ok,1.486704781272332,1.486704781272332,0.0,0.0,
greedy,75,uniform,0,,ok,3.2955953108898344,1.486704781272332,1.2167113151203037,0.01562643051147461,
aco,75,uniform,1,600.0,ok,2.0475027405610264,1.6780215529002867,0.220188582811782,14.123213052749634,200
hungarian_manual,75,uniform,1,600.0,ok,4.184057071034419,1.6780215529002867,1.4934465614000665,0.1250019073486328,466
hungarian_scipy,75,uniform,1,,ok,1.6780215529002867,1.6780215529002867,0.0,0.0,
greedy,75,uniform,1,,ok,2.931626250396188,1.6780215529002867,0.7470730607298668,0.0,
aco,75,uniform,2,600.0,ok,1.921196350011877,1.635419693119057,0.1747420910333967,14.448984861373901,200
hungarian_manual,75,uniform,2,600.0,ok,4.30633643972144,1.635419693119057,1.6331690011072544,0.1406230926513672,571
hungarian_scipy,75,uniform,2,,ok,1.635419693119057,1.635419693119057,0.0,0.0,
greedy,75,uniform,2,,ok,3.355879369282663,1.635419693119057,1.0519988742965187,0.0,
aco,75,uniform,3,600.0,ok,1.7337462329304185,1.3921166716785112,0.24540296672116982,14.46113109588623,200
hungarian_manual,75,uniform,3,600.0,ok,3.730408725340771,1.3921166716785112,1.679666727101918,0.12500452995300293,564
hungarian_scipy,75,uniform,3,,ok,1.3921166716785112,1.3921166716785112,0.0,0.0,
greedy,75,uniform,3,,ok,3.6498124966446417,1.3921166716785112,1.621771990018601,0.01562952995300293,
aco,75,uniform,4,600.0,ok,1.573625118206457,1.3880840347640664,0.13366703945552336,14.489029884338379,200
hungarian_manual,75,uniform,4,600.0,ok,3.149799307395922,1.3880840347640664,1.2691704742006455,0.12497949600219727,524
hungarian_scipy,75,uniform,4,,ok,1.3880840347640664,1.3880840347640664,0.0,0.0,
greedy,75,uniform,4,,ok,3.4428062470172973,1.3880840347640664,1.4802577947685087,0.0,
aco,100,uniform,0,600.0,ok,2.0048039530801853,1.6612799516999137,0.20678272859957098,19.223569869995117,200
hungarian_manual,100,uniform,0,600.0,ok,3.6058122450732,1.6612799516999137,1.1705024739409715,0.3750121593475342,990
hungarian_scipy,100,uniform,0,,ok,1.6612799516999137,1.6612799516999137,0.0,0.0,
greedy,100,uniform,0,,ok,3.4902455053428705,1.6612799516999137,1.1009375943960906,0.0,
aco,100,uniform,1,600.0,ok,2.1312595585111684,1.624390547679894,0.312036419785397,19.230688095092773,200
hungarian_manual,100,uniform,1,600.0,ok,3.8966616723527787,1.624390547679894,1.3988453256628177,0.32811665534973145,744
hungarian_scipy,100,uniform,1,,ok,1.624390547679894,1.624390547679894,0.0,0.0,
greedy,100,uniform,1,,ok,3.4659345722894166,1.624390547679894,1.1336830463830188,0.0,
aco,100,uniform,2,600.0,ok,2.1481478519600126,1.531651942072291,0.40250391943068764,18.796971559524536,200
hungarian_manual,100,uniform,2,600.0,ok,3.835896671811582,1.531651942072291,1.5044179858654436,0.3437521457672119,936
hungarian_scipy,100,uniform,2,,ok,1.531651942072291,1.531651942072291,0.0,0.0,
greedy,100,uniform,2,,ok,3.4770479892416657,1.531651942072291,1.2701293249021688,0.01562976837158203,
aco,100,uniform,3,600.0,ok,1.7741663570666826,1.4626912665295322,0.21294657161396377,19.27705478668213,200
hungarian_manual,100,uniform,3,600.0,ok,3.4539951636133144,1.4626912665295322,1.3613972699847094,0.312732458114624,795
hungarian_scipy,100,uniform,3,,ok,1.4626912665295322,1.4626912665295322,0.0,0.0,
greedy,100,uniform,3,,ok,4.105827207661571,1.4626912665295322,1.8070361132348178,0.015584945678710938,
aco,100,uniform,4,600.0,ok,1.8207473800773488,1.460537694294736,0.24662813372752485,18.74750018119812,200
hungarian_manual,100,uniform,4,600.0,ok,4.323067649194189,1.460537694294736,1.9599151504827892,0.31275248527526855,772
hungarian_scipy,100,uniform,4,,ok,1.460537694294736,1.460537694294736,0.0,0.0,
greedy,100,uniform,4,,ok,3.845671167945393,1.460537694294736,1.6330516377411195,0.01558542251586914,
aco,150,uniform,0,600.0,ok,2.7774968903042967,1.6678025693889302,0.6653631198817194,46.51682901382446,150
hungarian_manual,150,uniform,0,600.0,ok,3.5185401871564825,1.6678025693889302,1.109686273265335,1.266550064086914,1698
hungarian_scipy,150,uniform,0,,ok,1.6678025693889302,1.6678025693889302,0.0,0.0,
greedy,150,uniform,0,,ok,4.434951071943689,1.6678025693889302,1.6591583160641252,0.015500068664550781,
aco,150,uniform,1,600.0,ok,2.678775232826466,1.825576498843,0.46735852182814563,46.714314699172974,150
hungarian_manual,150,uniform,1,600.0,ok,4.66668589696689,1.825576498843,1.5562806597940468,1.5316641330718994,1746
hungarian_scipy,150,uniform,1,,ok,1.825576498843,1.825576498843,0.0,0.0,
greedy,150,uniform,1,,ok,3.3038532917719303,1.825576498843,0.809758886502878,0.015644311904907227,
aco,150,uniform,2,600.0,ok,2.7307247710178477,1.5017034486319867,0.818418126099043,46.44172811508179,150
hungarian_manual,150,uniform,2,600.0,ok,4.3426432512486475,1.5017034486319867,1.8918114659753122,1.4844050407409668,2029
hungarian_scipy,150,uniform,2,,ok,1.5017034486319867,1.5017034486319867,0.0,0.0,
greedy,150,uniform,2,,ok,3.905617444537972,1.5017034486319867,1.600791419967697,0.015592813491821289,
aco,150,uniform,3,600.0,ok,2.7249333072838047,1.6310979179184413,0.6706129517725604,47.959718227386475,150
hungarian_manual,150,uniform,3,600.0,ok,3.822310598078561,1.6310979179184413,1.3433973865630828,1.6043925285339355,2157
hungarian_scipy,150,uniform,3,,ok,1.6310979179184413,1.6310979179184413,0.0,0.0,
greedy,150,uniform,3,,ok,5.534762275084603,1.6310979179184413,2.393274072808518,0.035086631774902344,
aco,150,uniform,4,600.0,ok,2.467980578390889,1.6252374816007258,0.5185353564207307,46.581769704818726,150
hungarian_manual,150,uniform,4,600.0,ok,3.3282774496274303,1.6252374816007258,1.0478714571296681,1.312903881072998,1602
hungarian_scipy,150,uniform,4,,ok,1.6252374816007258,1.6252374816007258,0.0,0.0,
greedy,150,uniform,4,,ok,4.252746270074679,1.6252374816007258,1.61669221773428,0.015628576278686523,
aco,200,uniform,0,600.0,ok,2.2222272892362946,1.616953143405807,0.37433004679133225,85.01829218864441,150
hungarian_manual,200,uniform,0,600.0,ok,4.634627662340909,1.616953143405807,1.8662720878719712,4.033238410949707,3351
hungarian_scipy,200,uniform,0,,ok,1.616953143405807,1.616953143405807,0.0,0.0,
greedy,200,uniform,0,,ok,4.167028879078366,1.616953143405807,1.5770869713028943,0.030869245529174805,
aco,200,uniform,1,600.0,ok,2.5256844898717152,1.5903603020421282,0.5881209350035767,86.30641865730286,150
hungarian_manual,200,uniform,1,600.0,ok,3.7221082906337637,1.5903603020421282,1.340418259846105,4.252734661102295,2883
hungarian_scipy,200,uniform,1,,ok,1.5903603020421282,1.5903603020421282,0.0,0.0,
greedy,200,uniform,1,,ok,5.024196104659664,1.5903603020421282,2.1591558832349267,0.03125,
aco,200,uniform,2,600.0,ok,2.454303414335206,1.6161854385920225,0.5185778535867329,86.17401456832886,150
hungarian_manual,200,uniform,2,600.0,ok,4.27971915879346,1.6161854385920225,1.6480371970940644,4.251781702041626,3321
hungarian_scipy,200,uniform,2,,ok,1.6161854385920225,1.6161854385920225,0.0,0.0,
greedy,200,uniform,2,,ok,4.423168967919317,1.6161854385920225,1.7367954581824863,0.0156252384185791,
aco,200,uniform,3,600.0,ok,2.2551888118815278,1.533305293165875,0.47080220875332124,84.48256516456604,150
hungarian_manual,200,uniform,3,600.0,ok,4.810267225450866,1.533305293165875,2.137188169173355,4.468368768692017,3864
hungarian_scipy,200,uniform,3,,ok,1.533305293165875,1.533305293165875,0.0,0.0,
greedy,200,uniform,3,,ok,4.5700756836613765,1.533305293165875,1.9805386468244452,0.03264260292053223,
aco,200,uniform,4,600.0,ok,2.4821153135068146,1.7291716919588702,0.4354360096509455,83.99246954917908,150
hungarian_manual,200,uniform,4,600.0,ok,4.699971355745996,1.7291716919588702,1.7180478246331299,3.9230823516845703,3244
hungarian_scipy,200,uniform,4,,ok,1.7291716919588702,1.7291716919588702,0.0,0.0,
greedy,200,uniform,4,,ok,4.172855500482121,1.7291716919588702,1.4132106255770094,0.03126883506774902,
aco,300,uniform,0,600.0,ok,3.197077847175983,1.7112191994198425,0.8683041005266267,98.33975505828857,150
hungarian_manual,300,uniform,0,600.0,ok,5.559418778358642,1.7112191994198425,2.248805752204897,22.251776218414307,8196
hungarian_scipy,300,uniform,0,,ok,1.7112191994198425,1.7112191994198425,0.0,0.015625,
greedy,300,uniform,0,,ok,5.2608895761715875,1.7112191994198425,2.0743516540459552,0.0937495231628418,
aco,300,uniform,1,600.0,ok,2.884328381646904,1.6284514089738353,0.7712093623133995,95.5125560760498,150
hungarian_manual,300,uniform,1,600.0,ok,4.501545510918577,1.6284514089738353,1.7643106119790304,23.16300940513611,8323
hungarian_scipy,300,uniform,1,,ok,1.6284514089738353,1.6284514089738353,0.0,0.0,
greedy,300,uniform,1,,ok,5.549148141772161,1.6284514089738353,2.407622795001874,0.09372329711914062,
aco,300,uniform,2,600.0,ok,3.268614640559429,1.6280057887700177,1.0077414116745342,95.6624825000763,150
hungarian_manual,300,uniform,2,600.0,ok,4.8968425871955406,1.6280057887700177,2.0078778717950243,19.694186449050903,7236
hungarian_scipy,300,uniform,2,,ok,1.6280057887700177,1.6280057887700177,0.0,0.0,
greedy,300,uniform,2,,ok,5.367730682128529,1.6280057887700177,2.297120144876099,0.09392070770263672,
aco,300,uniform,3,600.0,ok,2.82309010136327,1.4978734496632657,0.8847320526296288,98.43515229225159,150
hungarian_manual,300,uniform,3,600.0,ok,4.834569843358533,1.4978734496632657,2.227622363187881,19.324596166610718,7164
hungarian_scipy,300,uniform,3,,ok,1.4978734496632657,1.4978734496632657,0.0,0.0,
greedy,300,uniform,3,,ok,4.433063341908943,1.4978734496632657,1.9595713462345778,0.0937497615814209,
aco,300,uniform,4,600.0,ok,3.1340461920244747,1.6408474603248129,0.9100167857188118,97.49771332740784,150
hungarian_manual,300,uniform,4,600.0,ok,5.01631264944691,1.6408474603248129,2.057147462356988,21.785725116729736,7820
hungarian_scipy,300,uniform,4,,ok,1.6408474603248129,1.6408474603248129,0.0,0.0,
greedy,300,uniform,4,,ok,4.964668980659476,1.6408474603248129,2.0256736843025602,0.09405803680419922,
aco,400,uniform,0,600.0,ok,2.5725205401274427,1.6112684631310528,0.5965809540692328,191.2249937057495,150
hungarian_manual,400,uniform,0,600.0,ok,5.527813119921582,1.6112684631310528,2.4307213517850483,62.80342388153076,13642
hungarian_scipy,400,uniform,0,,ok,1.6112684631310528,1.6112684631310528,0.0,0.015618085861206055,
greedy,400,uniform,0,,ok,5.296112357749122,1.6112684631310528,2.2869211301123578,0.15608453750610352,
aco,400,uniform,1,600.0,ok,3.1125790756510465,1.6556771849143008,0.8799432063274799,191.9900279045105,150
hungarian_manual,400,uniform,1,600.0,ok,5.024022529371406,1.6556771849143008,2.034421549772973,62.20591950416565,12466
hungarian_scipy,400,uniform,1,,ok,1.6556771849143008,1.6556771849143008,0.0,0.015625715255737305,
greedy,400,uniform,1,,ok,5.353141736439369,1.6556771849143008,2.2332037822436095,0.17189550399780273,
aco,400,uniform,2,600.0,ok,3.0680639806691885,1.7073954190035165,0.7969264451112302,196.78503608703613,150
hungarian_manual,400,uniform,2,600.0,ok,5.263063261881155,1.7073954190035165,2.0825098880450463,69.84907007217407,14762
hungarian_scipy,400,uniform,2,,ok,1.7073954190035165,1.7073954190035165,0.0,0.00566864013671875,
greedy,400,uniform,2,,ok,5.148432846071876,1.7073954190035165,2.015372296756334,0.1802053451538086,
aco,400,uniform,3,600.0,ok,3.0633629305535814,1.5776152673123232,0.9417680558913623,195.36394238471985,150
hungarian_manual,400,uniform,3,600.0,ok,4.689089751858301,1.5776152673123232,1.9722644354518624,66.50415825843811,13936
hungarian_scipy,400,uniform,3,,ok,1.5776152673123232,1.5776152673123232,0.0,0.015624046325683594,
greedy,400,uniform,3,,ok,5.6929094384955,1.5776152673123232,2.608553718039333,0.17183589935302734,
aco,400,uniform,4,600.0,ok,3.258184945654853,1.7848274362813252,0.8254901731246677,196.86720848083496,150
hungarian_manual,400,uniform,4,600.0,ok,5.7307455027018,1.7848274362813252,2.210812085364267,72.72350239753723,15083
hungarian_scipy,400,uniform,4,,ok,1.7848274362813252,1.7848274362813252,0.0,0.004987478256225586,
greedy,400,uniform,4,,ok,5.3234552403238755,1.7848274362813252,1.9826162082174483,0.1649632453918457,
